Model,BLEU,Perplexity,ResponseTime,ModelSize,ROUGE,Distance_Best,Distance_Worst,TOPSIS_Score,Rank
BlenderBot-400M,0.0322,30.0,22827.44,400,0.2533,0.0681,0.2952,0.8125,1
GPT-2,0.007,31.0224,6258.08,117,0.0917,0.203,0.2108,0.5095,2
GPT-2-Medium,0.0041,14.762,16212.69,345,0.0683,0.2323,0.1785,0.4345,3
DialoGPT-small,0.0091,11920.1225,10519.7,117,0.1227,0.235,0.1482,0.3867,4
DialoGPT-medium,0.0016,595.8519,39642.66,345,0.1133,0.2601,0.1561,0.3751,5
DialoGPT-large,0.0034,10766.3589,36704.87,762,0.1538,0.2883,0.0523,0.1535,6
