Model,BLEU,Perplexity,ResponseTime,ModelSize,ROUGE
DialoGPT-small,0.0091,11920.1225,10519.7,117,0.1227
DialoGPT-medium,0.0016,595.8519,39642.66,345,0.1133
DialoGPT-large,0.0034,10766.3589,36704.87,762,0.1538
BlenderBot-400M,0.0322,30.0,22827.44,400,0.2533
GPT-2,0.007,31.0224,6258.08,117,0.0917
GPT-2-Medium,0.0041,14.762,16212.69,345,0.0683
